"THE_COUNTY","year","month","total_prcp","tmax","tmin"
"SANTA CRUZ",1994,5,42.3839756239749,20.3599631147929,9.25443087471338
"SANTA CRUZ",1994,6,0.235777475467806,24.5586123286964,9.21325259304934
"SANTA CRUZ",1994,7,0,22.4913955730365,11.279090909986
"SANTA CRUZ",1994,8,0,25.7034806021884,10.774901963989
"SANTA CRUZ",1994,9,1.0815411924058,24.71792115707,11.2932075104673
"SANTA CRUZ",1994,10,22.1800214126838,23.1461103752974,8.19141374548386
"SANTA CRUZ",1994,11,151.578453498038,15.5224300123665,3.67778973805977
"SANTA CRUZ",1994,12,86.562621931192,14.3692288359908,3.32463773845295
"SANTA CRUZ",1995,1,412.512777102628,15.0393435977459,8.01482359396157
"SANTA CRUZ",1995,2,20.1766104564055,18.3521044172235,7.63520412548451
"SANTA CRUZ",1995,3,256.30985103425,17.5103075785426,6.77581925640386
"SANTA CRUZ",1995,4,91.0792805841482,19.27553823151,7.13936589927311
"SANTA CRUZ",1995,5,29.8678711845138,19.2230998448772,9.46060425339421
"SANTA CRUZ",1995,6,28.6832801530623,23.2744697892622,10.3596355794604
"SANTA CRUZ",1995,7,0,26.686313249767,12.6425074648574
"SANTA CRUZ",1995,8,0,26.3223014457272,11.5009455900602
"SANTA CRUZ",1995,9,0,25.3882202979314,11.3267042285818
"SANTA CRUZ",1995,10,0,24.5215625111769,9.25865258823571
"SANTA CRUZ",1995,11,4.11427706455583,22.2632720044647,7.88461659324329
"SANTA CRUZ",1995,12,189.150137320943,16.6123770964956,6.7405502203802
"SANTA CRUZ",1996,1,238.84646344452,16.6361871382643,5.75542386002168
"SANTA CRUZ",1996,2,256.264501346314,17.5915927731098,7.95241518622583
"SANTA CRUZ",1996,3,86.7636444101779,19.7554969592881,6.80294156100822
"SANTA CRUZ",1996,4,45.866777045958,22.4754264302821,7.77147532233328
"SANTA CRUZ",1996,5,74.681134849591,23.0044268660906,9.15035457573553
"SANTA CRUZ",1996,6,0,24.7201979720683,9.93724356913347
"SANTA CRUZ",1996,7,0,26.7632513896578,12.022182555138
"SANTA CRUZ",1996,8,0,26.0424011025561,11.3899854548583
"SANTA CRUZ",1996,9,0,24.8440543506372,10.1086837399755
